signal_date,trade_date,vt_symbol,signal,target_position,confidence,reason
2025-12-19,2025-12-22,603081.SSE,buy,0.5000,0.6700,"Price remains above MA5 (13.73 > 13.33) and MA20 (12.863), with positive 5-day and 20-day returns, indicating an intact short-term uptrend. Recent pullback on 12-18 was followed by a strong close near highs on 12-19, and volume is only slightly above average (no clear high-volume bearish reversal). Current profit is modest and trend still continues, so a small add from 0.4 to 0.5 is justified while keeping risk controlled."
2025-12-22,2025-12-23,603081.SSE,buy,0.6000,0.7400,"Price is above both MA5 (13.524) and MA20 (12.951), with positive 5-day and 20-day returns, indicating a continuing uptrend. Recent bars show higher highs/lows after consolidation, and today closed near session high without clear bearish reversal. Volume is around average (volume_ratio 1.04), supportive but not euphoric. Current position is already profitable (~5.9%) with moderate holding period (15 days), so a moderate add is reasonable rather than aggressive full allocation."
2025-12-23,2025-12-24,603081.SSE,hold,0.6000,0.7100,"Close (13.75) remains above MA5 (13.634) and MA20 (13.023), so the uptrend structure is still intact. Recent 20-day return is strong (+13.73%) and unrealized profit is positive (+3.58%). Although today is a down day after a short rally, volume ratio is low (0.70), which weakens bearish-reversal risk versus a high-volume distribution signal. With 16 holding days and no MA breakdown, keeping current medium-high exposure is reasonable rather than adding or reducing."
2025-12-24,2025-12-25,603081.SSE,hold,0.6000,0.7400,"Close is above both MA5 (13.72) and MA20 (13.1115), with positive 5d/20d returns, so the uptrend remains intact. Recent pullback (12/23) was not high-volume bearish reversal, and 12/24 rebounded slightly though on lower volume (volume_ratio 0.6533), suggesting momentum is moderating but not breaking. Current unrealized gain is positive (+4.38%) and position is already near prior target (0.6), so maintain exposure rather than add risk or reduce prematurely."
2025-12-25,2025-12-26,603081.SSE,hold,0.6000,0.7400,"Price remains above MA5 (13.94 > 13.844) and well above MA20 (13.94 > 13.2015), indicating an intact short- and medium-term uptrend. Recent 20-day return is strong (+13.61%) and current unrealized profit is positive, while the last few sessions show consolidation near highs rather than a clear bearish reversal. Volume is below the 5-day average (volume_ratio 0.73), so momentum is not accelerating enough to justify increasing exposure, but there is also no MA breakdown or profit-protection trigger requiring reduction. Keeping the existing 0.6 position is appropriate."
2025-12-26,2025-12-29,603081.SSE,sell,0.5000,0.6700,"Price closed below MA5 (13.77 < 13.852), and 5-day return is negative, indicating short-term momentum has weakened after a recent run-up. Although the stock remains above MA20 (medium-term trend still intact) and pullback volume is not elevated (no strong high-volume breakdown), risk has increased enough to trim exposure rather than hold full 0.6. Reduce position modestly to 0.5."
2025-12-29,2025-12-30,603081.SSE,hold,0.5000,0.6300,"Price remains above MA5 (13.90 > 13.844) and well above MA20 (13.327), so the uptrend structure is still intact. Recent 20-day return is positive, but 5-day momentum is mild and volume ratio (0.805) shows no strong breakout confirmation. With a 20-day hold and modest unrealized profit, keeping the existing medium exposure is appropriate rather than adding or cutting risk now."
2025-12-30,2025-12-31,603081.SSE,buy,0.6000,0.6600,"Close (14.07) is above MA5 (13.908) and MA20 (13.383), indicating the uptrend remains intact. Recent 5d/20d returns are positive, and today shows a constructive push higher with slightly above-average volume (volume ratio 1.14) rather than a high-volume bearish reversal. Current position is around 0.5 with a moderate unrealized gain and no sign of trend failure, so a modest increase in exposure is reasonable while avoiding over-allocation."
2025-12-31,2026-01-05,603081.SSE,hold,0.6000,0.6800,"Close remains above both MA5 (14.03 > 13.942) and MA20 (14.03 > 13.4325), so the uptrend is still intact. Recent 20-day return is positive (+7.92%) and the current unrealized gain is modestly positive. However, 5-day return is nearly flat, holding period is already 22 days, and today showed a small pullback from the recent high without strong volume support (volume ratio 0.919), so there is not enough evidence to add risk. No clear breakdown below MA5/MA20 to justify reduction yet. Maintain the existing 0.6 position."
2026-01-05,2026-01-06,603081.SSE,sell,0.5000,0.6700,"Close (13.91) is slightly below MA5 (13.936), which triggers a mild risk reduction rule, while still above MA20 (13.478), so no full exit is needed. Recent trend remains positive over 20d (+7.08%) and unrealized profit is positive, but momentum has softened after the recent rally (pullback from 14.07/14.03 area) with below-average volume (volume_ratio 0.87). With 23 holding days and no fresh breakout, trimming from 0.6 to 0.5 is a prudent de-risking step."
2026-01-06,2026-01-07,603081.SSE,hold,0.5000,0.6700,"Close is slightly above MA5 (14.03 > 13.988) and clearly above MA20 (13.53), so the medium-term uptrend remains intact. Recent 20-day return is positive (+8.68%) and current unrealized gain is modestly positive, while the last 5 days are mostly sideways rather than breaking down. Volume is only moderately above average, without a clear high-volume bearish reversal signal. However, holding period is already 24 days and short-term momentum is mild (+0.94% over 5 days), so trend continuation is not strong enough to justify adding exposure. Maintaining the existing 0.5 position balances staying with the uptrend and controlling risk."
2026-01-07,2026-01-08,603081.SSE,buy,0.6000,0.7400,"Price closed above MA5 (14.36 > 14.08) and MA20 (14.36 > 13.60), with positive 5d and 20d returns and a strong breakout-style day (close near high with elevated volume_ratio 1.58). No clear bearish reversal signal is present, and current unrealized gain is positive. Trend looks healthy, so a moderate increase from ~0.5 to 0.6 is justified while avoiding over-aggressive sizing after a recent run."
2026-01-08,2026-01-09,603081.SSE,hold,0.6000,0.6700,"Close is still above both MA5 (14.104) and MA20 (13.6655), with positive 5d/20d returns indicating an intact medium-term uptrend. The 01-08 pullback after 01-07’s strong up day is mild and volume is only near average (volume_ratio 1.07), so it is not a clear high-volume bearish reversal. Keep current exposure rather than chase higher immediately."
2026-01-09,2026-01-12,603081.SSE,sell,0.5000,0.6700,"Close 14.12 is marginally below MA5 14.122, which suggests short-term momentum has softened. Price remains above MA20 13.72 and the 20-day trend is still positive (+9.97%), so a full exit is not preferred. Recent rally stalled after the 01-07 spike, followed by two down days with no volume expansion today (volume ratio 0.863), indicating consolidation rather than strong continuation. With 27 holding days and modest unrealized profit (+4.55%), trimming from 0.6 to 0.5 reduces risk while keeping core exposure to the medium-term uptrend."
2026-01-12,2026-01-13,603081.SSE,sell,0.4000,0.5800,"Close (14.10) is slightly below MA5 (14.16), showing short-term momentum softening after the recent rally, while the last few sessions have been sideways-to-weaker with no volume expansion (volume_ratio 0.80). Price is still above MA20 (13.783), so trend is not broken, but with 28 holding days and limited recent follow-through, a modest risk reduction is appropriate rather than a full exit."
2026-01-13,2026-01-14,603081.SSE,sell,0.2000,0.8200,"Close 13.69 fell below both MA5 14.092 and MA20 13.8155, which weakens the short-term trend and triggers stronger risk reduction per rules. Recent 5-day return is negative (-4.67%), today shows a bearish breakdown from the recent 14.36 rally high, and holding period is already 29 days with only small unrealized gain. Volume is not elevated enough to confirm panic, so reduce rather than fully exit."
2026-01-14,2026-01-15,603081.SSE,sell,0.1000,0.7800,"Close (13.81) is below both MA5 (13.982) and MA20 (13.8575), indicating short-term weakness and loss of medium-term support. Recent 5-day return is negative, and after a prior rally the last two sessions show downside pressure with slightly elevated volume ratio, suggesting risk of further pullback. Position has been held 30 days with modest unrealized gain, so reducing risk and taking partial profit is appropriate."
2026-01-15,2026-01-16,603081.SSE,sell,0.0000,0.7300,"Close (13.76) is below both MA5 (13.896) and MA20 (13.8855), indicating short-term weakness and loss of trend support. Recent bars show a failed rally and pullback (notably the 01-13 drop), while 5-day return is negative and current volume is subdued, suggesting no strong rebound momentum yet. With a small existing position, 31 holding days, and only modest unrealized gain, risk/reward favors capital protection via full exit."
2026-01-16,2026-01-19,603081.SSE,hold,0.0000,0.7800,"No long entry signal: close (13.78) is below both MA5 (13.828) and MA20 (13.903), short-term momentum is weak (5d return -2.27%), and volume ratio is low (0.58), suggesting limited upside conviction. Since current position is already 0.0, keep flat and wait for a stronger trend recovery above key moving averages."
2026-01-19,2026-01-20,603081.SSE,buy,0.4000,0.7000,"Price closed above both MA5 (13.834) and MA20 (13.9435), indicating short- and medium-term trend support. Recent 5d/20d returns are positive, and today shows a strong rebound from recent weakness without extreme volume risk (volume ratio ~1.10). Since there is no existing position, initiate a moderate long allocation rather than full size due to choppy recent bars and prior pullback."
2026-01-20,2026-01-21,603081.SSE,hold,0.4000,0.6400,"Price is slightly above both MA5 and MA20, so no clear sell trigger is present. However, momentum is only mild (5d/20d returns modest) and today’s volume is below the 5-day average, indicating limited trend strength. With a very short holding period and small unrealized loss, maintaining the current 0.4 exposure is appropriate rather than adding or cutting."
2026-01-21,2026-01-22,603081.SSE,hold,0.4000,0.6700,"Close (14.18) is above both MA5 (13.982) and MA20 (13.972), indicating a mildly positive short-term trend. Recent 5d/20d returns are both positive (~3%), and current unrealized PnL is small but positive with only 2 holding days, so there is no clear pressure to cut risk. Volume ratio (1.22) is elevated but the latest bar is not a clear high-volume bearish reversal. Given mixed but slightly constructive momentum and no strong breakout confirmation, keep position unchanged at 0.4."
2026-01-22,2026-01-23,603081.SSE,hold,0.4000,0.6600,"Close is above both MA5 (14.08) and MA20 (13.997), indicating a modestly positive short-term trend. Recent 5-day and 20-day returns are both positive, and the current unrealized gain is small but positive after only 3 holding days. Today's volume is below the 5-day average (volume_ratio 0.8152), so there is no strong breakout confirmation, but also no clear high-volume bearish reversal. Given the trend is constructive yet not strong enough to justify adding risk, keeping the position at 0.4 is appropriate."
2026-01-23,2026-01-26,603081.SSE,hold,0.4000,0.7000,"Close is above both MA5 (14.39 > 14.20) and MA20 (14.39 > 14.02), with mild positive 5d/20d returns and no clear high-volume bearish reversal (volume ratio ~1.03). Current unrealized gain is small positive and holding period is short (4 days), so trend appears stable but not strong enough to justify adding risk. Maintain current 0.4 exposure."
2026-01-26,2026-01-27,603081.SSE,sell,0.3000,0.6200,"Price remains above MA5 and MA20 (uptrend intact), but today formed a bearish pullback (close < open and below prior close) after a short rally, with volume above 5-day average (volume_ratio 1.27), which raises near-term reversal risk. With only modest unrealized gain and current position near 0.4, a partial de-risk to 0.3 is prudent rather than full exit."
2026-01-27,2026-01-28,603081.SSE,hold,0.3000,0.6400,"Close (14.20) is slightly below MA5 (14.266), which argues against adding, but still above MA20 (14.0635), so no strong exit signal. Recent 20D return is mildly positive and volume is below average (volume_ratio 0.8462), with no clear high-volume bearish reversal. Current unrealized gain is small but positive and holding period is short (6 days). Maintain moderate exposure at 0.3."
2026-01-28,2026-01-29,603081.SSE,sell,0.2000,0.6600,"Close (14.13) is below MA5 (14.256), showing short-term momentum weakening after a recent upswing, and today’s down move came with slightly above-average volume (volume_ratio 1.17), which adds caution. Since price is still slightly above MA20 (14.075) and unrealized PnL is near flat, prefer a moderate risk reduction rather than full exit."
2026-01-29,2026-01-30,603081.SSE,sell,0.1000,0.6800,"Price closed below both MA5 (14.21) and MA20 (14.07), with a 4-day pullback from the recent 14.39 high and mild volume expansion (volume_ratio 1.14), indicating weakening short-term momentum. Current position is small and already near break-even loss, so further risk reduction is preferred rather than adding exposure."
2026-01-30,2026-02-02,603081.SSE,buy,0.2000,0.6800,"Close (14.48) is above both MA5 (14.228) and MA20 (14.095), and today shows a strong bullish recovery with higher volume (volume_ratio 1.47) after several weak sessions. Trend context is mildly positive (5d and 20d returns both positive), and there is no clear high-volume bearish reversal signal. Increase exposure modestly from 0.1 to 0.2 rather than aggressively, since recent price action has still been somewhat choppy."
2026-02-02,2026-02-03,603081.SSE,hold,0.2000,0.6400,"Close remains above MA5 and MA20 (14.31 > 14.228 > 14.115), so trend is still mildly positive. Recent 20-day and 5-day returns are positive, and volume is only moderately elevated (volume_ratio 1.25), without clear high-volume bearish reversal damage. Current unrealized return is near flat and holding period (10 days) is not excessive. Given mixed short-term pullback after 01-30 spike but no MA breakdown, maintain existing 0.2 exposure rather than add or cut."
2026-02-03,2026-02-04,603081.SSE,hold,0.2000,0.6200,"Close is still above both MA5 (14.25) and MA20 (14.129), so the short-term structure has not broken and there is no clear sell trigger. However, momentum is weak (5d return only +1.27%, 20d still slightly negative), volume ratio is low (0.78), and recent action looks like range consolidation after a brief pop, so there is not enough evidence to increase exposure. Keep the current 0.2 position."
2026-02-04,2026-02-05,603081.SSE,hold,0.2000,0.6300,"Price is exactly at MA5 and still above MA20, so there is no clear breakdown signal. Recent returns are mildly positive (5d and 20d), but momentum is not strong and volume ratio is low, indicating limited conviction. No clear high-volume bearish reversal today, and unrealized PnL is near flat after 12 holding days. Given mixed-to-neutral conditions, maintain current small position rather than add or cut aggressively."
2026-02-05,2026-02-06,603081.SSE,sell,0.1000,0.6900,"Close (14.27) is below MA5 (14.33), indicating short-term weakness, while still above MA20 (14.129), so not a full exit but a risk reduction is appropriate. Recent 5-day return is negative and price has drifted sideways/down after the 1/30 spike, with no strong follow-through. Volume ratio is below 1.0, suggesting limited buying strength. Holding period is already 13 days with minimal unrealized return, so trimming from 0.2 to 0.1 helps control risk while keeping a small core position as long as price remains above MA20."
2026-02-06,2026-02-09,603081.SSE,sell,0.0000,0.6800,"Close (14.08) is below both MA5 (14.25) and MA20 (14.127), indicating weakening short-term and medium-term trend. Recent rebound failed to continue, with 5-day return turning negative and price rolling over after the late-January pop. Given 14 holding days with no trend follow-through and a small unrealized loss, risk control favors exiting the remaining 0.1 position."
2026-02-09,2026-02-10,603081.SSE,hold,0.0000,0.6900,"Currently flat, and price is slightly below MA5 (14.23 < 14.234) with weak short-term momentum (5d return -0.56%). Although still above MA20 (14.1335) and medium-term trend is mildly positive (20d return +3.94%), there is no clear breakout/acceleration signal and volume is only around average (volume ratio 1.04). Given mixed trend and no existing position, staying in cash is prudent until a clearer bullish setup appears."
2026-02-10,2026-02-11,603081.SSE,hold,0.0000,0.8400,"Price closed below both MA5 (13.96 < 14.164) and MA20 (13.96 < 14.147), indicating short-term weakness. Recent 5-day return is negative and today’s drop came with normal-to-slightly elevated volume, suggesting risk is not improving. With no current position, the prudent action is to stay in cash and wait for a stronger setup (e.g., reclaim of key moving averages)."
2026-02-11,2026-02-12,603081.SSE,hold,0.0000,0.8500,"Price is below both MA5 (13.90 < 14.088) and MA20 (13.90 < 14.1515), with weak short-term momentum (5-day return -2.59%) and no sign of strong buying support (volume ratio 0.61). This indicates a weak/declining trend rather than a healthy long setup. Since current position is already 0, maintain no exposure."
2026-02-12,2026-02-13,603081.SSE,hold,0.0000,0.8400,"Close is below both MA5 (13.99) and MA20 (14.1525), indicating short-term and medium-term weakness. Recent 5-day return is negative (-2.13%), while 20-day return is flat, showing no clear upward trend. Volume is not supportive (volume_ratio 0.9852), and the recent sequence shows a drift lower from the 01-30 high without a convincing rebound. Since there is currently no position, staying out is preferable until price can reclaim key moving averages."
2026-02-13,2026-02-24,603081.SSE,buy,0.2000,0.5600,"Price rebounded to close above MA5 (14.04 > 13.982) after several weak sessions, with mildly elevated volume (volume_ratio 1.225), suggesting short-term stabilization. However, close remains below MA20 (14.1655), and both 5-day and 20-day returns are slightly negative, so broader trend is not strong. With no current holdings, a small starter long is reasonable rather than aggressive sizing."
2026-02-24,2026-02-25,603081.SSE,buy,0.3000,0.7500,"Price closed above both MA5 (14.008) and MA20 (14.177), indicating short- and medium-term trend support. Latest bar shows strong upward close with high volume (volume_ratio 1.8421), suggesting momentum confirmation rather than weakness. Current holding is small (0.2), unrealized return is positive, and holding period is only 1 day, so there is no pressure to de-risk from time decay or widening loss. Increase exposure moderately to 0.3 instead of aggressively, given recent choppy range before this breakout."
2026-02-25,2026-02-26,603081.SSE,sell,0.1000,0.8800,"Close 13.69 is below both MA5 13.954 and MA20 14.1585, which weakens the short-term and intermediate trend. Today also shows a large bearish bar after the 02-24 rebound, with elevated volume_ratio 1.7098, consistent with a high-volume bearish reversal. Recent returns are negative over 5d and 20d, and the current position is already at an unrealized loss versus avg_cost 14.236. Given the rule to strongly reduce when below MA20 and manage downside risk, cutting exposure from 0.3 to 0.1 is preferred over holding."
2026-02-26,2026-02-27,603081.SSE,sell,0.0000,0.8200,"Price is below both MA5 (13.872) and MA20 (14.124), with negative 5-day and 20-day returns, indicating a weak short-term trend. The 2026-02-25 high-volume bearish reversal after the prior rise (2026-02-24) adds downside risk, and 2026-02-26 continued lower. With unrealized loss already negative and momentum not stabilizing, a full exit is preferred."
2026-02-27,2026-03-02,603081.SSE,hold,0.0000,0.9000,"Price is below both MA5 (13.792) and MA20 (14.0805), with negative 5-day and 20-day returns, indicating a weak downtrend. Recent bars show a sharp drop on 02-25 after a brief rally, then continued decline, which supports risk-off. Since current position is already 0.0, maintaining no exposure is appropriate."
2026-03-02,2026-03-03,603081.SSE,hold,0.0000,0.9200,"Remain out of position: price is well below both MA5 (13.562) and MA20 (14.0055), with weak momentum (5d -10.24%, 20d -9.92%) and a clear recent downtrend. No bullish stabilization signal is evident, so keeping zero exposure is the lower-risk choice."
2026-03-03,2026-03-04,603081.SSE,hold,0.0000,0.9100,"Price is in a clear downtrend (close 12.52 below MA5 13.19 and MA20 13.92), with weak momentum (5d -8.55%, 20d -11.83%) and no reversal confirmation. Recent bars show continued lower highs/lows after a high-volume bearish break on 02-25. Since current position is already 0, staying out is preferred until trend stabilizes."
2026-03-04,2026-03-05,603081.SSE,hold,0.0000,0.9300,"Price is in a clear downtrend (close 12.26 below MA5 12.91 and far below MA20 13.82), with weak recent performance (5d -9.12%, 20d -13.23%) and no reversal confirmation. Since current position is already 0.0, the risk-controlled action is to stay out."
2026-03-05,2026-03-06,603081.SSE,hold,0.0000,0.9000,"Price is in a clear downtrend (close 12.36 below MA5 12.68 and well below MA20 13.73), with weak 5d/20d returns and no bullish reversal signal. Since current position is already 0, the prudent action is to stay flat."
2026-03-06,2026-03-09,603081.SSE,hold,0.0000,0.9100,"Price remains below both MA5 (12.46 < 12.498) and MA20 (12.46 << 13.6525), with weak medium-term momentum (5d -3.34%, 20d -13.95%). Recent sequence shows a persistent downtrend after a sharp breakdown, and current rebound is small with low volume (volume_ratio 0.6611), indicating no strong reversal confirmation. Since current position is already 0, maintain no exposure."
2026-03-09,2026-03-10,603081.SSE,hold,0.0000,0.9100,"Price is below both MA5 (12.24 < 12.368) and MA20 (12.24 < 13.5405), with weak momentum (5d -2.24%, 20d -14.47%) and no clear reversal signal. Trend remains bearish and unhealthy for initiating a long position. Since current position is already 0.0, keep flat and wait for stronger confirmation."
2026-03-10,2026-03-11,603081.SSE,buy,0.2000,0.6100,"Price rebounded strongly on 03-10 and is now above MA5 (12.66 > 12.396), with mild volume support (volume_ratio 1.095). However, it remains below MA20 (13.458) and 20-day return is still negative (-11.53%), so the broader trend is not yet confirmed. With current position at 0, a small probe position is appropriate rather than aggressive entry."
2026-03-11,2026-03-12,603081.SSE,hold,0.2000,0.6300,"Close (12.63) is above MA5 (12.47), supporting short-term stabilization, but still below MA20 (13.374), indicating the medium-term trend remains weak. Recent 20-day return is negative (-11.55%), and there was prior high-volume bearish damage (02-25), so risk is not fully cleared. Current position is already small (~0.2), holding days are short (1 day), and unrealized loss is minimal (-0.55%), so neither aggressive add nor forced reduction is necessary now."
2026-03-12,2026-03-13,603081.SSE,sell,0.1000,0.7900,"Price closed below MA5 (12.48 < 12.494) and well below MA20 (12.48 < 13.284), indicating weak short- and medium-term trend. 20-day return is strongly negative (-12.54%), and recent rebound lacked volume support (volume_ratio 0.70). Current position is small and unrealized loss is modest, but trend continuation is not confirmed; per risk rules below MA20, a further reduction is preferred."
2026-03-13,2026-03-16,603081.SSE,sell,0.0000,0.7800,"Close (12.38) is below both MA5 (12.478) and MA20 (13.1895), indicating weak short- and medium-term trend. 20-day return is still negative (-12.07%), and the recent rebound failed to continue (12.66 -> 12.63 -> 12.48 -> 12.38). With momentum fading and current unrealized loss, risk control favors exiting the remaining small position."
